,timestamp,machine,application,pid,message
5415,1972-02-14 09:50:01,ns508880,systemd,-1,StartedSession9824ofuserroot.
5416,1972-02-14 10:00:01,ns508880,systemd,-1,StartedSession9825ofuserroot.
5417,1972-02-14 10:01:01,ns508880,systemd,-1,StartedSession9826ofuserroot.
5418,1972-02-14 10:10:01,ns508880,systemd,-1,StartedSession9827ofuserroot.
5419,1972-02-14 10:20:01,ns508880,systemd,-1,StartedSession9828ofuserroot.
5420,1972-02-14 10:30:01,ns508880,systemd,-1,StartedSession9829ofuserroot.
5421,1972-02-14 10:40:01,ns508880,systemd,-1,StartedSession9830ofuserroot.
5422,1972-02-14 10:50:01,ns508880,systemd,-1,StartedSession9831ofuserroot.
5423,1972-02-14 11:00:01,ns508880,systemd,-1,StartedSession9832ofuserroot.
5424,1972-02-14 11:01:01,ns508880,systemd,-1,StartedSession9833ofuserroot.
5425,1972-02-14 11:10:01,ns508880,systemd,-1,StartedSession9834ofuserroot.
5426,1972-02-14 11:20:01,ns508880,systemd,-1,StartedSession9835ofuserroot.
5427,1972-02-14 11:30:01,ns508880,systemd,-1,StartedSession9836ofuserroot.
5428,1972-02-14 11:40:01,ns508880,systemd,-1,StartedSession9837ofuserroot.
5429,1972-02-14 11:50:01,ns508880,systemd,-1,StartedSession9838ofuserroot.
5430,1972-02-14 12:00:01,ns508880,systemd,-1,StartedSession9839ofuserroot.
5431,1972-02-14 12:01:01,ns508880,systemd,-1,StartedSession9840ofuserroot.
5432,1972-02-14 12:10:01,ns508880,systemd,-1,StartedSession9841ofuserroot.
5433,1972-02-14 12:20:01,ns508880,systemd,-1,StartedSession9842ofuserroot.
5434,1972-02-14 12:30:01,ns508880,systemd,-1,StartedSession9843ofuserroot.
5435,1972-02-14 12:40:01,ns508880,systemd,-1,StartedSession9844ofuserroot.
5436,1972-02-14 12:50:01,ns508880,systemd,-1,StartedSession9845ofuserroot.
5437,1972-02-14 13:00:01,ns508880,systemd,-1,StartedSession9846ofuserroot.
5438,1972-02-14 13:01:01,ns508880,systemd,-1,StartedSession9847ofuserroot.
5439,1972-02-14 13:10:01,ns508880,systemd,-1,StartedSession9848ofuserroot.
5440,1972-02-14 13:20:01,ns508880,systemd,-1,StartedSession9849ofuserroot.
5441,1972-02-14 13:30:01,ns508880,systemd,-1,StartedSession9850ofuserroot.
5442,1972-02-14 13:40:01,ns508880,systemd,-1,StartedSession9851ofuserroot.
5443,1972-02-14 13:50:01,ns508880,systemd,-1,StartedSession9852ofuserroot.
5444,1972-02-14 14:00:01,ns508880,systemd,-1,StartedSession9853ofuserroot.
5445,1972-02-14 14:01:01,ns508880,systemd,-1,StartedSession9854ofuserroot.
5446,1972-02-14 14:10:01,ns508880,systemd,-1,StartedSession9855ofuserroot.
5447,1972-02-14 14:20:01,ns508880,systemd,-1,StartedSession9856ofuserroot.
5448,1972-02-14 14:30:01,ns508880,systemd,-1,StartedSession9857ofuserroot.
5449,1972-02-14 14:40:01,ns508880,systemd,-1,StartedSession9858ofuserroot.
5450,1972-02-14 14:50:01,ns508880,systemd,-1,StartedSession9859ofuserroot.
5451,1972-02-14 15:00:01,ns508880,systemd,-1,StartedSession9860ofuserroot.
5452,1972-02-14 15:01:01,ns508880,systemd,-1,StartedSession9861ofuserroot.
5453,1972-02-14 15:10:01,ns508880,systemd,-1,StartedSession9862ofuserroot.
5454,1972-02-14 15:20:01,ns508880,systemd,-1,StartedSession9863ofuserroot.
5455,1972-02-14 15:21:21,ns508880,auditd[838],-1,Auditdaemonrotatinglogfiles
5456,1972-02-14 15:30:01,ns508880,systemd,-1,StartedSession9864ofuserroot.
5457,1972-02-14 15:40:01,ns508880,systemd,-1,StartedSession9865ofuserroot.
5458,1972-02-14 15:50:01,ns508880,systemd,-1,StartedSession9866ofuserroot.
5459,1972-02-14 16:00:01,ns508880,systemd,-1,StartedSession9867ofuserroot.
5460,1972-02-14 16:01:01,ns508880,systemd,-1,StartedSession9868ofuserroot.
5461,1972-02-14 16:10:01,ns508880,systemd,-1,StartedSession9869ofuserroot.
5462,1972-02-14 16:20:01,ns508880,systemd,-1,StartedSession9870ofuserroot.
5463,1972-02-14 16:30:01,ns508880,systemd,-1,StartedSession9871ofuserroot.
5464,1972-02-14 16:40:01,ns508880,systemd,-1,StartedSession9872ofuserroot.
5465,1972-02-14 16:50:01,ns508880,systemd,-1,StartedSession9873ofuserroot.
5466,1972-02-14 17:00:01,ns508880,systemd,-1,StartedSession9874ofuserroot.
5467,1972-02-14 17:01:01,ns508880,systemd,-1,StartedSession9875ofuserroot.
5468,1972-02-14 17:10:01,ns508880,systemd,-1,StartedSession9876ofuserroot.
5469,1972-02-14 17:20:01,ns508880,systemd,-1,StartedSession9877ofuserroot.
5470,1972-02-14 17:30:01,ns508880,systemd,-1,StartedSession9878ofuserroot.
5471,1972-02-14 17:40:01,ns508880,systemd,-1,StartedSession9879ofuserroot.
5472,1972-02-14 17:50:01,ns508880,systemd,-1,StartedSession9880ofuserroot.
5473,1972-02-14 18:00:01,ns508880,systemd,-1,StartedSession9881ofuserroot.
5474,1972-02-14 18:01:01,ns508880,systemd,-1,StartedSession9882ofuserroot.
5475,1972-02-14 18:10:01,ns508880,systemd,-1,StartedSession9883ofuserroot.
5476,1972-02-14 18:20:01,ns508880,systemd,-1,StartedSession9884ofuserroot.
5477,1972-02-14 18:30:01,ns508880,systemd,-1,StartedSession9885ofuserroot.
5478,1972-02-14 18:40:01,ns508880,systemd,-1,StartedSession9886ofuserroot.
5479,1972-02-14 18:50:01,ns508880,systemd,-1,StartedSession9887ofuserroot.
5480,1972-02-14 19:00:01,ns508880,systemd,-1,StartedSession9888ofuserroot.
5481,1972-02-14 19:01:01,ns508880,systemd,-1,StartedSession9889ofuserroot.
5482,1972-02-14 19:10:01,ns508880,systemd,-1,StartedSession9890ofuserroot.
5483,1972-02-14 19:20:01,ns508880,systemd,-1,StartedSession9891ofuserroot.
5484,1972-02-14 19:30:01,ns508880,systemd,-1,StartedSession9892ofuserroot.
5485,1972-02-14 19:40:01,ns508880,systemd,-1,StartedSession9893ofuserroot.
5486,1972-02-14 19:50:01,ns508880,systemd,-1,StartedSession9894ofuserroot.
5487,1972-02-14 20:00:01,ns508880,systemd,-1,StartedSession9895ofuserroot.
5488,1972-02-14 20:01:01,ns508880,systemd,-1,StartedSession9896ofuserroot.
5489,1972-02-14 20:10:01,ns508880,systemd,-1,StartedSession9897ofuserroot.
5490,1972-02-14 20:20:01,ns508880,systemd,-1,StartedSession9898ofuserroot.
5491,1972-02-14 20:30:01,ns508880,systemd,-1,StartedSession9899ofuserroot.
5492,1972-02-14 20:40:01,ns508880,systemd,-1,StartedSession9900ofuserroot.
5493,1972-02-14 20:50:01,ns508880,systemd,-1,StartedSession9901ofuserroot.
5494,1972-02-14 21:00:01,ns508880,systemd,-1,StartedSession9902ofuserroot.
5495,1972-02-14 21:01:01,ns508880,systemd,-1,StartedSession9903ofuserroot.
5496,1972-02-14 21:10:02,ns508880,systemd,-1,StartedSession9904ofuserroot.
5497,1972-02-14 21:20:01,ns508880,systemd,-1,StartedSession9905ofuserroot.
5498,1972-02-14 21:30:01,ns508880,systemd,-1,StartedSession9906ofuserroot.
5499,1972-02-14 21:40:01,ns508880,systemd,-1,StartedSession9907ofuserroot.
5500,1972-02-14 21:50:01,ns508880,systemd,-1,StartedSession9908ofuserroot.
5501,1972-02-14 22:00:01,ns508880,systemd,-1,StartedSession9909ofuserroot.
5502,1972-02-14 22:01:01,ns508880,systemd,-1,StartedSession9910ofuserroot.
5503,1972-02-14 22:10:01,ns508880,systemd,-1,StartedSession9911ofuserroot.
5504,1972-02-14 22:20:01,ns508880,systemd,-1,StartedSession9912ofuserroot.
5505,1972-02-14 22:30:01,ns508880,systemd,-1,StartedSession9913ofuserroot.
5506,1972-02-14 22:40:01,ns508880,systemd,-1,StartedSession9914ofuserroot.
5507,1972-02-14 22:50:01,ns508880,systemd,-1,StartedSession9915ofuserroot.
5508,1972-02-14 23:00:01,ns508880,systemd,-1,StartedSession9916ofuserroot.
5509,1972-02-14 23:01:01,ns508880,systemd,-1,StartedSession9917ofuserroot.
5510,1972-02-14 23:10:01,ns508880,systemd,-1,StartedSession9918ofuserroot.
5511,1972-02-14 23:20:01,ns508880,systemd,-1,StartedSession9919ofuserroot.
5512,1972-02-14 23:30:01,ns508880,systemd,-1,StartedSession9920ofuserroot.
5513,1972-02-14 23:40:01,ns508880,systemd,-1,StartedSession9921ofuserroot.
5514,1972-02-14 23:50:01,ns508880,systemd,-1,StartedSession9922ofuserroot.
5515,1972-02-14 23:53:01,ns508880,systemd,-1,StartedSession9923ofuserroot.
5516,1972-02-15 00:00:01,ns508880,systemd,-1,StartingupdateoftheroottrustanchorforDNSSECvalidationinunbound...
5517,1972-02-15 00:00:01,ns508880,systemd,-1,StartedSession9924ofuserroot.
5518,1972-02-15 00:00:01,ns508880,systemd,-1,StartedupdateoftheroottrustanchorforDNSSECvalidationinunbound.
5519,1972-02-15 00:01:01,ns508880,systemd,-1,StartedSession9925ofuserroot.
5520,1972-02-15 00:10:01,ns508880,systemd,-1,StartedSession9926ofuserroot.
5521,1972-02-15 00:20:01,ns508880,systemd,-1,StartedSession9927ofuserroot.
5522,1972-02-15 00:30:01,ns508880,systemd,-1,StartedSession9928ofuserroot.
5523,1972-02-15 00:40:01,ns508880,systemd,-1,StartedSession9929ofuserroot.
5524,1972-02-15 00:50:01,ns508880,systemd,-1,StartedSession9930ofuserroot.
5525,1972-02-15 01:00:01,ns508880,systemd,-1,StartedSession9931ofuserroot.
5526,1972-02-15 01:01:01,ns508880,systemd,-1,StartedSession9932ofuserroot.
5527,1972-02-15 01:10:01,ns508880,systemd,-1,StartedSession9933ofuserroot.
5528,1972-02-15 01:20:01,ns508880,systemd,-1,StartedSession9934ofuserroot.
5529,1972-02-15 01:30:01,ns508880,systemd,-1,StartedSession9935ofuserroot.
5530,1972-02-15 01:40:01,ns508880,systemd,-1,StartedSession9936ofuserroot.
5531,1972-02-15 01:50:01,ns508880,systemd,-1,StartedSession9937ofuserroot.
5532,1972-02-15 02:00:01,ns508880,systemd,-1,StartedSession9938ofuserroot.
5533,1972-02-15 02:01:01,ns508880,systemd,-1,StartedSession9939ofuserroot.
5534,1972-02-15 02:10:01,ns508880,systemd,-1,StartedSession9940ofuserroot.
5535,1972-02-15 02:20:01,ns508880,systemd,-1,StartedSession9941ofuserroot.
5536,1972-02-15 02:25:44,ns508880,auditd[838],-1,Auditdaemonrotatinglogfiles
